"variable","direccion","pct_identicos","dif_mediana","correlacion"
"leucocitos","maximo",83.6,0,0.985
"hemoglobina","minimo",94.1,0,0.9889
"plaquetas","minimo",89,0,0.9946
"rdw","maximo",87.7,0,0.9972
"creatinina","maximo",97.1,0,0.9991
"urea","maximo",96.6,0,0.9994
"brecha_anion","maximo",97.4,0,0.99
"sodio","minimo",96.8,0,0.9852
"potasio","maximo",96.7,0,0.98
"cloro","minimo",97.3,0,0.9909
"bicarbonato","minimo",97.4,0,0.9925
"inr","maximo",97.3,0,0.9966
"ttpa","maximo",85.1,0,0.974
"ph","minimo",64.8,0,0.8722
"pco2","maximo",66.5,0,0.9047
"lactato","maximo",83.2,0,0.962
"exceso_base","minimo",63.8,0,0.9287
