"objetivo","umbral","prevalencia","bn_modelo","bn_tratar_todos","bn_no_tratar","util"
"cualquier_foco",0.01,0.1126,0.10361,0.10361,0,FALSE
"cualquier_foco",0.02,0.1126,0.09447,0.09446,0,TRUE
"cualquier_foco",0.03,0.1126,0.08555,0.08512,0,TRUE
"cualquier_foco",0.04,0.1126,0.0771,0.07559,0,TRUE
"cualquier_foco",0.05,0.1126,0.06841,0.06586,0,TRUE
"cualquier_foco",0.06,0.1126,0.06029,0.05593,0,TRUE
"cualquier_foco",0.07,0.1126,0.05065,0.04578,0,TRUE
"cualquier_foco",0.08,0.1126,0.04302,0.0354,0,TRUE
"cualquier_foco",0.09,0.1126,0.03588,0.0248,0,TRUE
"cualquier_foco",0.1,0.1126,0.03022,0.01397,0,TRUE
"cualquier_foco",0.11,0.1126,0.02509,0.00289,0,TRUE
"cualquier_foco",0.12,0.1126,0.02055,-0.00844,0,TRUE
"cualquier_foco",0.13,0.1126,0.01865,-0.02003,0,TRUE
"cualquier_foco",0.14,0.1126,0.01642,-0.03189,0,TRUE
"cualquier_foco",0.15,0.1126,0.01158,-0.04403,0,TRUE
"cualquier_foco",0.16,0.1126,0.01041,-0.05646,0,TRUE
"cualquier_foco",0.17,0.1126,0.00748,-0.06919,0,TRUE
"cualquier_foco",0.18,0.1126,0.00614,-0.08223,0,TRUE
"cualquier_foco",0.19,0.1126,0.00231,-0.09559,0,TRUE
"cualquier_foco",0.2,0.1126,-0.00105,-0.10929,0,FALSE
"cualquier_foco",0.21,0.1126,-0.00218,-0.12333,0,FALSE
"cualquier_foco",0.22,0.1126,-0.00159,-0.13773,0,FALSE
"cualquier_foco",0.23,0.1126,-0.00231,-0.15251,0,FALSE
"cualquier_foco",0.24,0.1126,-0.00157,-0.16767,0,FALSE
"cualquier_foco",0.25,0.1126,-0.00119,-0.18324,0,FALSE
"cualquier_foco",0.26,0.1126,-0.00053,-0.19923,0,FALSE
"cualquier_foco",0.27,0.1126,-0.00104,-0.21566,0,FALSE
"cualquier_foco",0.28,0.1126,-0.00093,-0.23254,0,FALSE
"cualquier_foco",0.29,0.1126,-0.00056,-0.2499,0,FALSE
"cualquier_foco",0.3,0.1126,-4e-05,-0.26776,0,FALSE
"urinario",0.01,0.0427,0.03326,0.03303,0,TRUE
"urinario",0.02,0.0427,0.02546,0.02316,0,TRUE
"urinario",0.03,0.0427,0.01803,0.01309,0,TRUE
"urinario",0.04,0.0427,0.00988,0.00281,0,TRUE
"urinario",0.05,0.0427,0.0046,-0.00768,0,TRUE
"urinario",0.06,0.0427,0.00175,-0.0184,0,TRUE
"urinario",0.07,0.0427,0.00152,-0.02936,0,TRUE
"urinario",0.08,0.0427,-0.00016,-0.04054,0,FALSE
"urinario",0.09,0.0427,-9e-04,-0.05198,0,FALSE
"urinario",0.1,0.0427,-0.00036,-0.06367,0,FALSE
"urinario",0.11,0.0427,-0.00105,-0.07562,0,FALSE
"urinario",0.12,0.0427,-0.00204,-0.08784,0,FALSE
"urinario",0.13,0.0427,-0.00138,-0.10035,0,FALSE
"urinario",0.14,0.0427,-0.00117,-0.11314,0,FALSE
"urinario",0.15,0.0427,-0.00084,-0.12624,0,FALSE
"urinario",0.16,0.0427,-0.00051,-0.13964,0,FALSE
"urinario",0.17,0.0427,-0.00043,-0.15337,0,FALSE
"urinario",0.18,0.0427,-0.00039,-0.16744,0,FALSE
"urinario",0.19,0.0427,-0.00035,-0.18185,0,FALSE
"urinario",0.2,0.0427,-3e-04,-0.19663,0,FALSE
"urinario",0.21,0.0427,-0.00032,-0.21177,0,FALSE
"urinario",0.22,0.0427,-0.00025,-0.22731,0,FALSE
"urinario",0.23,0.0427,-0.00027,-0.24325,0,FALSE
"urinario",0.24,0.0427,-0.00028,-0.25961,0,FALSE
"urinario",0.25,0.0427,-3e-04,-0.2764,0,FALSE
"urinario",0.26,0.0427,-0.00031,-0.29365,0,FALSE
"urinario",0.27,0.0427,-0.00011,-0.31137,0,FALSE
"urinario",0.28,0.0427,-0.00012,-0.32958,0,FALSE
"urinario",0.29,0.0427,0,-0.34831,0,FALSE
"urinario",0.3,0.0427,0,-0.36757,0,FALSE
"respiratorio",0.01,0.0382,0.02788,0.02851,0,FALSE
"respiratorio",0.02,0.0382,0.02037,0.01859,0,TRUE
"respiratorio",0.03,0.0382,0.01236,0.00847,0,TRUE
"respiratorio",0.04,0.0382,0.00671,-0.00185,0,TRUE
"respiratorio",0.05,0.0382,0.00484,-0.0124,0,TRUE
"respiratorio",0.06,0.0382,0.00375,-0.02317,0,TRUE
"respiratorio",0.07,0.0382,0.00284,-0.03417,0,TRUE
"respiratorio",0.08,0.0382,0.00232,-0.04541,0,TRUE
"respiratorio",0.09,0.0382,0.00236,-0.0569,0,TRUE
"respiratorio",0.1,0.0382,0.00212,-0.06864,0,TRUE
"respiratorio",0.11,0.0382,0.00123,-0.08065,0,TRUE
"respiratorio",0.12,0.0382,0.00103,-0.09293,0,TRUE
"respiratorio",0.13,0.0382,0.00049,-0.10549,0,TRUE
"respiratorio",0.14,0.0382,0.00094,-0.11835,0,TRUE
"respiratorio",0.15,0.0382,0.00049,-0.13151,0,TRUE
"respiratorio",0.16,0.0382,0.00061,-0.14498,0,TRUE
"respiratorio",0.17,0.0382,0.00062,-0.15877,0,TRUE
"respiratorio",0.18,0.0382,0.00071,-0.1729,0,TRUE
"respiratorio",0.19,0.0382,0.00014,-0.18738,0,TRUE
"respiratorio",0.2,0.0382,7e-05,-0.20222,0,TRUE
"respiratorio",0.21,0.0382,0.00026,-0.21744,0,TRUE
"respiratorio",0.22,0.0382,0.00022,-0.23305,0,TRUE
"respiratorio",0.23,0.0382,0.00045,-0.24906,0,TRUE
"respiratorio",0.24,0.0382,0.00052,-0.2655,0,TRUE
"respiratorio",0.25,0.0382,-1e-04,-0.28237,0,FALSE
"respiratorio",0.26,0.0382,-0.00012,-0.2997,0,FALSE
"respiratorio",0.27,0.0382,-3e-05,-0.31751,0,FALSE
"respiratorio",0.28,0.0382,-5e-05,-0.33581,0,FALSE
"respiratorio",0.29,0.0382,5e-05,-0.35462,0,TRUE
"respiratorio",0.3,0.0382,0.00017,-0.37397,0,TRUE
"sangre",0.01,0.0317,0.02211,0.02187,0,TRUE
"sangre",0.02,0.0317,0.01448,0.01189,0,TRUE
"sangre",0.03,0.0317,0.01039,0.0017,0,TRUE
"sangre",0.04,0.0317,0.00684,-0.0087,0,TRUE
"sangre",0.05,0.0317,0.00479,-0.01931,0,TRUE
"sangre",0.06,0.0317,0.00548,-0.03016,0,TRUE
"sangre",0.07,0.0317,0.00384,-0.04124,0,TRUE
"sangre",0.08,0.0317,0.00362,-0.05255,0,TRUE
"sangre",0.09,0.0317,0.00125,-0.06412,0,TRUE
"sangre",0.1,0.0317,3e-05,-0.07594,0,TRUE
"sangre",0.11,0.0317,-0.00023,-0.08803,0,FALSE
"sangre",0.12,0.0317,-0.00034,-0.1004,0,FALSE
"sangre",0.13,0.0317,0.00011,-0.11304,0,TRUE
"sangre",0.14,0.0317,-3e-05,-0.12599,0,FALSE
"sangre",0.15,0.0317,-6e-04,-0.13923,0,FALSE
"sangre",0.16,0.0317,-5e-04,-0.1528,0,FALSE
"sangre",0.17,0.0317,-0.00031,-0.16669,0,FALSE
"sangre",0.18,0.0317,-0.00023,-0.18091,0,FALSE
"sangre",0.19,0.0317,-0.00012,-0.19549,0,FALSE
"sangre",0.2,0.0317,-7e-05,-0.21044,0,FALSE
"sangre",0.21,0.0317,-2e-05,-0.22576,0,FALSE
"sangre",0.22,0.0317,-0.00025,-0.24147,0,FALSE
"sangre",0.23,0.0317,-0.00027,-0.2576,0,FALSE
"sangre",0.24,0.0317,-0.00028,-0.27414,0,FALSE
"sangre",0.25,0.0317,-3e-04,-0.29113,0,FALSE
"sangre",0.26,0.0317,-1e-04,-0.30858,0,FALSE
"sangre",0.27,0.0317,-0.00011,-0.32651,0,FALSE
"sangre",0.28,0.0317,-0.00012,-0.34493,0,FALSE
"sangre",0.29,0.0317,-0.00012,-0.36387,0,FALSE
"sangre",0.3,0.0317,-0.00013,-0.38336,0,FALSE
