"variable","pct_ausente","varianza_interna","varianza_entre","fmi"
"leucocitos",23.65,0.00587,0.0039,0.4109
"hemoglobina",23.51,0.000217,8.86e-05,0.3003
"plaquetas",23.58,0.582,0.292,0.3448
"rdw",23.62,0.000237,0.00017,0.4289
"creatinina",24.45,0.000106,3.72e-05,0.2687
"urea",24.48,0.0242,0.00846,0.2686
"brecha_anion",27.62,0.001,0.000439,0.3148
"sodio",27.25,0.00149,0.000581,0.2907
"potasio",27.12,2.53e-05,2.16e-05,0.473
"cloro",24.24,0.00219,0.00124,0.3729
"bicarbonato",24.61,0.00103,0.000533,0.3514
"inr",33.73,3.78e-05,5.42e-05,0.6005
"ttpa",34.17,0.0196,0.0181,0.4926
"ph",39.12,4.93e-07,6.47e-07,0.5795
"pco2",40.51,0.00775,0.0121,0.6214
"lactato",40.62,0.000177,0.000185,0.5232
"exceso_base",40.5,0.00139,0.000936,0.414
"temperatura",7.29,3.4e-05,2.24e-06,0.0648
"frec_cardiaca",0.82,0.0178,9.43e-05,0.0055
"frec_respiratoria",1.75,0.00174,1.95e-05,0.0117
"saturacion",1.18,0.000648,9.53e-06,0.0152
