"seccion","sede","clase","n","cubiertos","cobertura","ic_inferior","ic_superior","n_calibracion","orden_umbral","nominal","confianza","p_unilateral","p_beta","media_nula","ic_beta_inferior","ic_beta_superior","beta_por_debajo","beta_por_encima","beta_excluye_nominal","en_familia","p_bonferroni","p_holm","p_beta_holm","p_beta_bonferroni","resiste_bonferroni_0050","resiste_holm_0050","resiste_beta_holm_0050","resiste_beta_bonferroni_0050","resiste_bonferroni_0025","resiste_holm_0025","resiste_beta_holm_0025","resiste_beta_bonferroni_0025","resiste_bonferroni","resiste_holm","umbral_holm_0050","umbral_holm_0025","umbral_holm_beta_0050","umbral_holm_beta_0025","umbral_holm","excluye_nominal","por_debajo","por_encima","punto_bajo_nominal"
"dejando una sede fuera","Coronary Care Unit (CCU)","sin_crecimiento",1608,1287,0.8004,0.78,0.8197,4624,4163,0.9,0.95,7.11549e-33,1.16528e-23,0.900108108108108,0.7767,0.8227,TRUE,FALSE,TRUE,TRUE,1.4231e-31,1.35194e-31,2.21404e-22,2.33057e-22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.00263158,0.00131579,0.00263158,0.00131579,0.00263158,TRUE,TRUE,FALSE,TRUE
"dejando una sede fuera","Coronary Care Unit (CCU)","urinario",93,91,0.9785,0.9245,0.9974,242,219,0.9,0.95,0.999371,0.997616,0.901234567901235,0.9149,0.9983,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.005,0.0025,0.00714286,0.00357143,0.005,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Coronary Care Unit (CCU)","respiratorio",51,51,1,0.9302,1,208,189,0.9,0.95,1,1,0.904306220095694,0.9222,1,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00833333,0.00416667,0.0166667,0.00833333,0.00833333,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Coronary Care Unit (CCU)","sangre",83,83,1,0.9565,1,142,129,0.9,0.95,1,1,0.902097902097902,0.945,1,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0.005,0.01,0.005,0.01,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Medical Intensive Care Unit (MICU)","sin_crecimiento",4686,3635,0.7757,0.7635,0.7876,3514,3164,0.9,0.95,1.85525e-136,2.15634e-52,0.900142247510669,0.757,0.7937,TRUE,FALSE,TRUE,TRUE,3.71051e-135,3.71051e-135,4.31267e-51,4.31267e-51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0025,0.00125,0.0025,0.00125,0.0025,TRUE,TRUE,FALSE,TRUE
"dejando una sede fuera","Medical Intensive Care Unit (MICU)","urinario",309,298,0.9644,0.9372,0.9821,159,144,0.9,0.95,0.999994,0.997121,0.9,0.9168,0.9904,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00714286,0.00357143,0.00625,0.003125,0.00714286,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Medical Intensive Care Unit (MICU)","respiratorio",314,299,0.9522,0.9224,0.973,132,120,0.9,0.95,0.999758,0.971861,0.902255639097744,0.8963,0.9852,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00555556,0.00277778,0.005,0.0025,0.00555556,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Medical Intensive Care Unit (MICU)","sangre",215,207,0.9628,0.928,0.9838,120,109,0.9,0.95,0.999838,0.988241,0.900826446280992,0.9037,0.9921,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00625,0.003125,0.00555556,0.00277778,0.00625,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Medical/Surgical Intensive Care Unit (MICU/SICU)","sin_crecimiento",3800,3612,0.9505,0.9431,0.9572,3901,3512,0.9,0.95,1,1,0.900051255766274,0.9401,0.9598,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0125,0.00625,0.025,0.0125,0.0125,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Medical/Surgical Intensive Care Unit (MICU/SICU)","urinario",162,143,0.8827,0.8229,0.9279,189,171,0.9,0.95,0.266128,0.309185,0.9,0.8013,0.9413,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00333333,0.00166667,0.00333333,0.00166667,0.00333333,FALSE,FALSE,FALSE,TRUE
"dejando una sede fuera","Medical/Surgical Intensive Care Unit (MICU/SICU)","respiratorio",160,120,0.75,0.6755,0.815,153,139,0.9,0.95,4.10513e-08,0.00014867,0.902597402597403,0.6442,0.8398,TRUE,FALSE,TRUE,TRUE,8.21026e-07,7.38924e-07,0.00267607,0.00297341,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.00277778,0.00138889,0.00277778,0.00138889,0.00277778,TRUE,TRUE,FALSE,TRUE
"dejando una sede fuera","Medical/Surgical Intensive Care Unit (MICU/SICU)","sangre",154,145,0.9416,0.892,0.9729,119,108,0.9,0.95,0.975466,0.90326,0.9,0.8659,0.9837,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00454545,0.00227273,0.00454545,0.00227273,0.00454545,FALSE,FALSE,FALSE,FALSE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","sin_crecimiento",2600,2466,0.9485,0.9393,0.9566,4271,3845,0.9,0.95,1,1,0.900046816479401,0.9368,0.9587,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0166667,0.00833333,0.00833333,0.00416667,0.0166667,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","urinario",88,78,0.8864,0.8009,0.9441,221,200,0.9,0.95,0.384714,0.380738,0.900900900900901,0.7856,0.9523,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00357143,0.00178571,0.00357143,0.00178571,0.00357143,FALSE,FALSE,FALSE,TRUE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","respiratorio",58,44,0.7586,0.6283,0.8613,205,186,0.9,0.95,0.00143487,0.00403499,0.902912621359223,0.6119,0.8726,TRUE,FALSE,TRUE,TRUE,0.0286973,0.0243927,0.0685948,0.0806998,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.00294118,0.00147059,0.00294118,0.00147059,0.00294118,TRUE,TRUE,FALSE,TRUE
