"unidad","estancias","retenida","grupo"
"Medical Intensive Care Unit (MICU)",5968,TRUE,"desarrollo"
"Cardiac Vascular Intensive Care Unit (CVICU)",4724,TRUE,"reservada"
"Medical/Surgical Intensive Care Unit (MICU/SICU)",4589,TRUE,"desarrollo"
"Surgical Intensive Care Unit (SICU)",3027,TRUE,"desarrollo"
"Trauma SICU (TSICU)",2549,TRUE,"desarrollo"
"Coronary Care Unit (CCU)",1921,TRUE,"desarrollo"
"Neuro Intermediate",168,FALSE,"descartada"
"Neuro Surgical Intensive Care Unit (Neuro SICU)",150,FALSE,"descartada"
"Neuro Stepdown",64,FALSE,"descartada"
"Surgery/Vascular/Intermediate",36,FALSE,"descartada"
"Intensive Care Unit (ICU)",5,FALSE,"descartada"
"Medicine",5,FALSE,"descartada"
"PACU",3,FALSE,"descartada"
"Surgery/Trauma",2,FALSE,"descartada"
"Med/Surg",1,FALSE,"descartada"
"Medicine/Cardiology Intermediate",1,FALSE,"descartada"
