"label","estancias","promedio","maximo","pct_una_sola","pct_tres_o_mas"
"pCO2",30063,2.43,11,44.3,37.3
"Base Excess",30065,2.43,11,44.3,37.3
"pH",30864,2.41,11,44.6,36.8
"Lactate",29559,1.7,11,59.6,17.8
"Platelet Count",43762,1.26,7,76.5,1.6
"Hemoglobin",43679,1.25,7,77.1,1.4
"PTT",36670,1.25,7,76.7,1.3
"INR(PT)",36806,1.25,7,76.8,1.3
"White Blood Cells",43588,1.24,7,77.2,1.3
"RDW",43567,1.24,7,77.3,1.3
"Potassium",39254,1.09,5,91.8,0.5
"Sodium",39208,1.09,5,91.8,0.5
"Chloride",42641,1.08,5,92.6,0.4
"Creatinine",42500,1.08,4,92.9,0.4
"Urea Nitrogen",42467,1.08,4,92.9,0.4
"Bicarbonate",42360,1.07,4,93,0.4
"Anion Gap",41512,1.07,4,93,0.4
