"clase","grupo","n","prob_minima","prob_maxima","probabilidad_media","observados","frecuencia_observada"
"sin_crecimiento",1,670,0.5007,0.8423,0.7934,534,0.797
"sin_crecimiento",2,670,0.8423,0.8857,0.8658,586,0.8746
"sin_crecimiento",3,669,0.8858,0.9151,0.9013,598,0.8939
"sin_crecimiento",4,670,0.9152,0.9403,0.9274,610,0.9104
"sin_crecimiento",5,670,0.9403,0.9822,0.9543,644,0.9612
"urinario",1,670,0.0032,0.0211,0.0154,5,0.0075
"urinario",2,670,0.0211,0.0306,0.0259,21,0.0313
"urinario",3,669,0.0306,0.0417,0.0358,38,0.0568
"urinario",4,670,0.0417,0.0578,0.0493,33,0.0493
"urinario",5,670,0.0579,0.2814,0.0829,46,0.0687
"respiratorio",1,670,0.0029,0.0159,0.0116,11,0.0164
"respiratorio",2,670,0.0159,0.0248,0.0203,15,0.0224
"respiratorio",3,669,0.0248,0.0355,0.0299,26,0.0389
"respiratorio",4,670,0.0355,0.0543,0.0435,27,0.0403
"respiratorio",5,670,0.0544,0.3331,0.0864,49,0.0731
"sangre",1,670,0.0006,0.0131,0.0094,7,0.0104
"sangre",2,670,0.0131,0.0201,0.0166,12,0.0179
"sangre",3,669,0.0202,0.0294,0.0242,12,0.0179
"sangre",4,670,0.0294,0.045,0.0364,27,0.0403
"sangre",5,670,0.045,0.3253,0.0702,48,0.0716
