"fase","manifiesto","ejecutado_en","primer_commit","ultimo_commit","rehecha_tras_la_guardia","declara_la_guardia","anterior_a_la_guardia","guardia_activa","origen"
"fase2","outputs/fase2/manifiesto.json","2026-08-31T17:59:06-0600","2026-08-17","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase22","outputs/fase22/manifiesto.json","2026-08-31T15:03:11-0600","2026-08-26","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase23","outputs/fase23/manifiesto.json","2026-08-31T15:05:36-0600","2026-08-26","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase24","outputs/fase24/manifiesto.json","2026-08-31T15:01:00-0600","2026-08-26","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase25","outputs/fase25/manifiesto.json","2026-08-31T18:15:24-0600","2026-08-26","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase26","outputs/fase26/manifiesto.json","2026-09-01T21:30:13-0600","2026-08-27","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase28","outputs/fase28/manifiesto.json","2026-08-31T17:47:32-0600","2026-08-27","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase29","outputs/fase29/manifiesto.json","2026-09-01T19:19:05-0600","2026-08-30","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase30","outputs/fase30/manifiesto.json","2026-08-31T18:12:20-0600","2026-08-30","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase31","outputs/fase31/manifiesto.json","2026-08-31T17:48:12-0600","2026-08-31","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase32","outputs/fase32/manifiesto.json","2026-09-01T18:22:52-0600","2026-08-31","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase33","outputs/fase33/manifiesto.json","2026-09-01T21:29:32-0600","2026-08-31","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase34","outputs/fase34/manifiesto.json","2026-08-31T15:05:45-0600","2026-08-31","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase35","outputs/fase35/manifiesto.json","2026-08-31T15:05:46-0600","2026-08-31","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase36","outputs/fase36/manifiesto.json","2026-08-31T17:47:35-0600","2026-08-31","2026-08-31",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase37","outputs/fase37/manifiesto.json","2026-09-02T16:31:55-0600","2026-08-31","2026-09-02",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase38","outputs/fase38/manifiesto.json","2026-09-02T16:32:13-0600","2026-08-31","2026-09-02",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase39","outputs/fase39/manifiesto.json","2026-08-31T20:09:55-0600","2026-08-31","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase40","outputs/fase40/manifiesto.json","2026-09-01T17:06:23-0600","2026-09-01","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase41","outputs/fase41/manifiesto.json","2026-09-02T16:31:49-0600","2026-09-01","2026-09-02",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase42","outputs/fase42/manifiesto.json","2026-09-01T18:38:40-0600","2026-09-01","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase43","outputs/fase43/manifiesto.json","2026-09-01T18:52:47-0600","2026-09-01","2026-09-01",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase44","outputs/fase44/manifiesto.json","2026-09-02T16:31:51-0600","2026-09-01","2026-09-02",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase45","outputs/fase45/manifiesto.json","2026-09-02T00:37:14-0600","2026-09-01","2026-09-02",TRUE,TRUE,FALSE,TRUE,"declarado en el manifiesto"
"fase4","outputs/fase4/manifiesto.json","2026-08-18T14:14:59-0600","2026-08-18","2026-08-18",FALSE,NA,TRUE,FALSE,"derivado de la marca de ejecucion"
"fase6","outputs/fase6/manifiesto.json","2026-08-19T00:39:08-0600","2026-08-19","2026-08-20",FALSE,NA,TRUE,FALSE,"derivado de la marca de ejecucion"
"fase7","outputs/fase7/manifiesto.json","2026-08-19T09:44:32-0600","2026-08-19","2026-08-27",FALSE,NA,TRUE,FALSE,"derivado de la marca de ejecucion"
"fase8","outputs/fase8/manifiesto.json","2026-08-19T10:36:43-0600","2026-08-19","2026-09-02",TRUE,NA,TRUE,FALSE,"derivado de la marca de ejecucion"
"fase10","","","2026-08-19","2026-09-01",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase11","","","2026-08-20","2026-08-20",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase12","","","2026-08-20","2026-08-20",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase13","","","2026-08-20","2026-08-26",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase15","","","2026-08-20","2026-08-20",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase16","","","2026-08-21","2026-08-26",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase17","","","2026-08-24","2026-09-01",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase18","","","2026-08-24","2026-08-24",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase19","","","2026-08-24","2026-09-01",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase20","","","2026-08-24","2026-09-02",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase21","","","2026-08-26","2026-09-01",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase27","","","2026-08-27","2026-09-02",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase3","","","2026-08-18","2026-08-31",TRUE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase5","","","2026-08-18","2026-08-18",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
"fase9","","","2026-08-19","2026-08-19",FALSE,NA,TRUE,FALSE,"derivado del historial, sin manifiesto"
