"deposito","escrito_por","filas","claves_de_orden","orden_total","nota"
"outputs/fase2/clase_por_unidad.csv","14_cohorte.R",69,"unidad+n+clase",TRUE,"orden total"
"outputs/fase2/clases.csv","14_cohorte.R",7,"n+clase",TRUE,"orden total"
"outputs/fase2/unidades_elegibles.csv","14_cohorte.R",6,"estancias+unidad",TRUE,"orden total"
"outputs/fase20/dispersion_empates.csv","62_empates_temporales.R",6,"codigo",TRUE,"orden total"
"outputs/fase20/empates_constantes.csv","62_empates_temporales.R",6,"codigo",TRUE,"orden total"
"outputs/fase20/empates_laboratorio.csv","62_empates_temporales.R",1,"",TRUE,"una sola fila"
"outputs/fase25/multisitio_cohorte.csv","73_divergencia_etiquetado.R",4,"sitios_positivos+estancias",TRUE,"orden total"
"outputs/fase3/cobertura_labs.csv","16_cobertura_labs.R",73,"estancias+itemid+label+fluid+category",TRUE,"orden total"
"outputs/fase3/repeticion.csv","18_repeticion.R",17,"promedio+label",TRUE,"orden total"
"outputs/multisitio.csv","11_auditoria.R",5,"sitios_positivos+estancias",TRUE,"orden total"
"outputs/n_real.csv","11_auditoria.R",1,"",TRUE,"una sola fila"
"outputs/tipos_muestra_ventana6h.csv","10_lista_completa.R",58,"cultivos+tipo_muestra",TRUE,"orden total"
"outputs/unidades.csv","11_auditoria.R",17,"estancias+unidad",TRUE,"orden total"
