"unidad","pct_falta_lactato"
"Cardiac Vascular Intensive Care Unit (CVICU)",13.1
"Coronary Care Unit (CCU)",45.2
"Intensive Care Unit (ICU)",40
"Med/Surg",100
"Medical Intensive Care Unit (MICU)",40.6
"Medical/Surgical Intensive Care Unit (MICU/SICU)",49.1
"Medicine",0
"Medicine/Cardiology Intermediate",0
"Neuro Intermediate",66.1
"Neuro Stepdown",81.2
"Neuro Surgical Intensive Care Unit (Neuro SICU)",56
"PACU",66.7
"Surgery/Trauma",50
"Surgery/Vascular/Intermediate",22.2
"Surgical Intensive Care Unit (SICU)",57.8
"Trauma SICU (TSICU)",49.1
