"procedimiento","alta","registrado","categoria","posterior_a_la_fijacion","posterior_a_la_apertura","lee_filas_por_paciente","escribe_artefacto_del_modelo","ajusta_un_modelo","produce_cifra_publicada"
"43_curvas_decision.R","2026-08-21",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"44_gbm.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"46_extraer_vitales.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"47_limpiar_vitales.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"48_concordancia_presion.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"49_ver_glasgow.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50_construir_glasgow.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"51_circularidad_glasgow.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"52_compuerta_vitales.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"53_verificar_ventilador.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"54_imputacion_ampliada.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"55_modelo_ampliado.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"56_conformal_ampliado.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"57_louo_ampliado.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"58_diagnostico_imputacion.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"61_agregados_faltantes.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"63_extraccion_determinista.R","2026-08-24",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"66_agregado_indicador_tubo.R","2026-08-25",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"69_medianas_por_unidad.R","2026-08-26",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"70_lambda_validacion_interna.R","2026-08-26",TRUE,"posterior a la apertura y lee filas por paciente",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
