"deposito","publicado","contrastado","situacion"
"outputs/fase10/cobertura_clase_louo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase10/cobertura_louo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase11/cobertura_sellado.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase12/recalibracion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase13/referencias.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase15/comparacion_agregacion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase15/sensibilidad_lactato.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase16/curvas_decision.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase16/gbm_comparacion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase17/circularidad_glasgow.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase17/cobertura_presion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase17/concordancia_presion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase17/indicador_tubo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase17/recorrido_por_unidad.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase18/comparacion_ampliado.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase18/ganancia_splines.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase19/cobertura_louo_ampliado.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase2/clases.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase2/flujo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/cobertura_extraccion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/determinismo_extraccion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/divergencia_extraccion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/empates_constantes.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/empates_laboratorio.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase20/fraccion_informacion_faltante.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase22/decision_lambda.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase23/calibracion_sellado.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase26/causas_fallo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase26/intervalos_cobertura.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase26/recuentos_multiplicidad.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase28/cobertura_vitales_por_etapa.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase29/cohorte_analizada.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase30/determinaciones_candidatas.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase30/viabilidad_comparacion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase31/casos_completos.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/cascada_casos_completos.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/comparacion_resumen.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/completos_por_grupo.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/intervalo_diferencia.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/multiplicidad_diferencias.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase32/potencia_no_usada.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase33/procedencia_seleccion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase34/calibracion_prueba.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase35/curva_calibracion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase35/pendiente_calibracion.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase35/rango_probabilidad.csv",TRUE,TRUE,"publicado y contrastado"
"outputs/fase35/separacion_argmax.csv",TRUE,TRUE,"publicado y contrastado"
