"bloque","categoria","estancias","pct_del_bloque"
"entrenamiento","abstencion",657,7.28
"entrenamiento","respiratorio",319,3.53
"entrenamiento","sangre",265,2.94
"entrenamiento","sin_crecimiento",7428,82.3
"entrenamiento","urinario",357,3.96
"calibracion","abstencion",395,7.29
"calibracion","respiratorio",191,3.53
"calibracion","sangre",159,2.94
"calibracion","sin_crecimiento",4457,82.29
"calibracion","urinario",214,3.95
"prueba","abstencion",263,7.28
"prueba","respiratorio",128,3.54
"prueba","sangre",106,2.93
"prueba","sin_crecimiento",2972,82.28
"prueba","urinario",143,3.96
"unidad reservada","abstencion",138,2.92
"unidad reservada","respiratorio",13,0.28
"unidad reservada","sangre",26,0.55
"unidad reservada","sin_crecimiento",4495,95.15
"unidad reservada","urinario",52,1.1
"unidades descartadas","abstencion",23,5.29
"unidades descartadas","respiratorio",20,4.6
"unidades descartadas","sangre",17,3.91
"unidades descartadas","sin_crecimiento",336,77.24
"unidades descartadas","urinario",39,8.97
