"determinacion","bloque","mediana","pct_ausente","observadas"
"bicarbonato","entrenamiento",22,27.2,6571
"bicarbonato","calibracion",22,28.53,3871
"bicarbonato","prueba",22,26.66,2649
"bicarbonato","unidad reservada",23,12.89,4115
"bicarbonato","unidades descartadas",22,32.41,294
"brecha_anion","entrenamiento",15,27.34,6558
"brecha_anion","calibracion",15,28.62,3866
"brecha_anion","prueba",15,26.83,2643
"brecha_anion","unidad reservada",12,27.18,3440
"brecha_anion","unidades descartadas",14,32.18,295
"cloro","entrenamiento",104,26.69,6617
"cloro","calibracion",104,28.18,3890
"cloro","prueba",104,26.22,2665
"cloro","unidad reservada",109,12.79,4120
"cloro","unidades descartadas",103,32.41,294
"creatinina","entrenamiento",1.1,27.03,6586
"creatinina","calibracion",1.05,28.4,3878
"creatinina","prueba",1.1,26.44,2657
"creatinina","unidad reservada",0.9,12.81,4119
"creatinina","unidades descartadas",0.9,31.49,298
"exceso_base","entrenamiento",-2,48.27,4669
"exceso_base","calibracion",-1,48.89,2768
"exceso_base","prueba",-2,48.37,1865
"exceso_base","unidad reservada",1,8.7,4313
"exceso_base","unidades descartadas",-1,54.94,196
"hemoglobina","entrenamiento",10.6,27.7,6526
"hemoglobina","calibracion",10.6,29.45,3821
"hemoglobina","prueba",10.7,28.18,2594
"hemoglobina","unidad reservada",9.7,4.59,4507
"hemoglobina","unidades descartadas",11.6,29.2,308
"inr","entrenamiento",1.3,40.68,5354
"inr","calibracion",1.3,42.17,3132
"inr","prueba",1.3,39.42,2188
"inr","unidad reservada",1.4,6.12,4435
"inr","unidades descartadas",1.2,36.78,275
"lactato","entrenamiento",1.9,47.5,4739
"lactato","calibracion",1.9,47.73,2831
"lactato","prueba",1.9,46.4,1936
"lactato","unidad reservada",2.2,13.1,4105
"lactato","unidades descartadas",1.6,60,174
"leucocitos","entrenamiento",11.8,27.92,6506
"leucocitos","calibracion",12,29.52,3817
"leucocitos","prueba",11.5,28.32,2589
"leucocitos","unidad reservada",12,4.61,4506
"leucocitos","unidades descartadas",12,29.66,306
"pco2","entrenamiento",41,48.28,4668
"pco2","calibracion",42,48.89,2768
"pco2","prueba",41,48.37,1865
"pco2","unidad reservada",40,8.7,4313
"pco2","unidades descartadas",41,54.94,196
"ph","entrenamiento",7.35,46.65,4815
"ph","calibracion",7.35,47.29,2855
"ph","prueba",7.35,46.51,1932
"ph","unidad reservada",7.4,8.3,4332
"ph","unidades descartadas",7.36,54.25,199
"plaquetas","entrenamiento",197,27.92,6506
"plaquetas","calibracion",196.5,29.47,3820
"plaquetas","prueba",194,28.18,2594
"plaquetas","unidad reservada",153,4.38,4517
"plaquetas","unidades descartadas",209,30.57,302
"potasio","entrenamiento",4.1,26.56,6629
"potasio","calibracion",4.1,28.08,3895
"potasio","prueba",4.1,26.11,2669
"potasio","unidad reservada",4.1,27.37,3431
"potasio","unidades descartadas",4,32.64,293
"rdw","entrenamiento",14.8,27.84,6513
"rdw","calibracion",14.7,29.54,3816
"rdw","prueba",14.7,28.24,2592
"rdw","unidad reservada",13.7,4.68,4503
"rdw","unidades descartadas",14.15,29.66,306
"sodio","entrenamiento",138,26.62,6623
"sodio","calibracion",138,28.23,3887
"sodio","prueba",138,26.25,2664
"sodio","unidad reservada",140,27.69,3416
"sodio","unidades descartadas",139,31.72,297
"ttpa","entrenamiento",31.1,41.4,5289
"ttpa","calibracion",31.1,42.74,3101
"ttpa","prueba",31,39.7,2178
"ttpa","unidad reservada",31.3,6.01,4440
"ttpa","unidades descartadas",28.5,37.01,274
"urea","entrenamiento",22,27.04,6585
"urea","calibracion",22,28.51,3872
"urea","prueba",22,26.5,2655
"urea","unidad reservada",16,12.79,4120
"urea","unidades descartadas",16,31.49,298
