"variable","n_imputados","med_observada","med_imputada","p5_observado","p5_imputado","p95_observado","p95_imputado"
"leucocitos",5360,11.9,11.8,4,3.5,26.7,28.4
"hemoglobina",5330,10.4,10.5,7.2,7.1,14.4,14.5
"plaquetas",5341,181,195,60,49,406,426
"rdw",5354,14.4,14.9,12.5,12.7,19.6,20.6
"creatinina",5538,1,1.1,0.5,0.5,4.2,4.9
"urea",5546,20,23,8,8,74,85
"brecha_anion",6271,14,15,9,8,23,24
"sodio",6188,139,139,129,129,146,148
"potasio",6154,4.1,4.1,3.2,3.1,5.6,5.7
"cloro",5486,105,104,93,92,115,114
"bicarbonato",5572,23,22,14,13,29,31
"inr",7669,1.3,1.3,1,1,2.8,3
"ttpa",7770,31.2,30.8,23.5,23,71.76,71.2
"ph",8844,7.37,7.36,7.16,7.15,7.5,7.5
"pco2",9164,41,40,28,29,64,66
"lactato",9167,2,1.8,0.9,0.8,6.5,5.8
"exceso_base",9163,0,-1,-12,-12,6,7
