"variable","media_global","sd_entre_imp","cv_pct"
"leucocitos",13.797,0.0787,0.57
"hemoglobina",10.691,0.0149,0.14
"plaquetas",213.191,0.928,0.435
"rdw",15.397,0.0139,0.09
"creatinina",1.614,0.0123,0.76
"urea",30.48,0.1661,0.545
"brecha_anion",15.643,0.029,0.185
"sodio",137.967,0.0466,0.034
"potasio",4.212,0.0046,0.108
"cloro",103.639,0.0515,0.05
"bicarbonato",22.017,0.0274,0.124
"inr",1.588,0.0053,0.332
"ttpa",37.192,0.1919,0.516
"ph",7.34,9e-04,0.012
"pco2",43.351,0.1136,0.262
"lactato",2.555,0.0155,0.605
"exceso_base",-2.301,0.0405,1.759
