"variable","media","minimo","sd","supera_nulo_en"
"leucocitos",17.94,11.78,4.15,20
"hemoglobina",10.23,5.3,3.81,16
"plaquetas",3.09,0.67,1.66,0
"rdw",15.99,8.19,4.27,20
"creatinina",29.59,18.8,7.16,20
"urea",33.2,22.52,4.49,20
"brecha_anion",10.08,5.97,3.05,18
"sodio",20.03,13.32,4.75,20
"potasio",4.86,0.64,2.4,6
"cloro",27.61,15.65,6.6,20
"bicarbonato",24.17,15.8,4.82,20
"inr",10.86,5.74,3.38,18
"ttpa",9.38,2.93,4.1,16
"ph",2.05,0.13,1.46,0
"pco2",7.29,3.32,2.91,9
"lactato",5.01,1.83,1.96,4
"exceso_base",13.4,7.85,3.68,20
