"variable","dev_cv_lineal","dev_cv_spline","ganancia_cv"
"leucocitos",8428.9,8409,19.86
"hemoglobina",8423.6,8416.8,6.8
"plaquetas",8431.6,8435.2,-3.61
"rdw",8409.3,8396.5,12.85
"creatinina",8431.6,8408.5,23.08
"urea",8395.7,8372,23.67
"brecha_anion",8432.9,8424.5,8.43
"sodio",8432.3,8416.7,15.57
"potasio",8432.9,8430.2,2.67
"cloro",8434.5,8411.7,22.9
"bicarbonato",8433.6,8411,22.62
"inr",8415.2,8406.4,8.76
"ttpa",8425.1,8421.1,3.99
"ph",8428.5,8433.2,-4.74
"pco2",8431.9,8423.5,8.41
"lactato",8428.5,8426,2.46
"exceso_base",8431.8,8417,14.73
