"variable","dev_lineal","dev_spline","ganancia","p_valor"
"leucocitos",8422.7,8398.7,24,"6.14e-06"
"hemoglobina",8417.8,8406.6,11.16,"0.00377"
"plaquetas",8425.8,8424.3,1.49,"0.474"
"rdw",8404.5,8388.8,15.71,"0.000387"
"creatinina",8423.8,8395.2,28.57,"6.25e-07"
"urea",8386.7,8358.3,28.38,"6.88e-07"
"brecha_anion",8427.2,8414.5,12.69,"0.00176"
"sodio",8425.9,8408,17.86,"0.000133"
"potasio",8426.9,8420.3,6.55,"0.0378"
"cloro",8428,8401.4,26.59,"1.68e-06"
"bicarbonato",8428,8401.7,26.28,"1.96e-06"
"inr",8410.1,8398.7,11.39,"0.00337"
"ttpa",8420.2,8412.2,8.08,"0.0176"
"ph",8421.7,8419.3,2.43,"0.296"
"pco2",8425.7,8415.2,10.56,"0.00509"
"lactato",8423.9,8417.7,6.26,"0.0437"
"exceso_base",8426.6,8408.4,18.24,"0.00011"
