"tipo_muestra","cultivos","con_crecimiento"
"MRSA SCREEN",33080,1869
"BLOOD CULTURE",13824,962
"URINE",8962,1474
"SPUTUM",2794,1087
"STOOL",907,154
"Rapid Respiratory Viral Screen & Culture",849,47
"SWAB",731,406
"SEROLOGY/BLOOD",581,0
"TISSUE",349,185
"BRONCHOALVEOLAR LAVAGE",298,144
"Influenza A/B by DFA",261,15
"FLUID RECEIVED IN BLOOD CULTURE BOTTLES",237,37
"CSF;SPINAL FLUID",222,12
"Staph aureus swab",206,42
"Blood (EBV)",197,0
"FLUID,OTHER",197,41
"IMMUNOLOGY",190,0
"Blood (CMV AB)",175,0
"PLEURAL FLUID",174,37
"PERITONEAL FLUID",172,47
"BLOOD CULTURE ( MYCO/F LYTIC BOTTLE)",103,5
"ABSCESS",95,86
"BILE",92,70
"Immunology (CMV)",86,0
"URINE,KIDNEY",67,60
"Blood (LYME)",67,0
"CATHETER TIP-IV",64,12
"Mini-BAL",56,25
"BRONCHIAL WASHINGS",56,35
"Blood (Toxo)",39,0
"DIALYSIS FLUID",32,2
"FOREIGN BODY",27,10
"THROAT FOR STREP",22,5
"JOINT FLUID",20,6
"ASPIRATE",15,4
"BONE MARROW - CYTOGENETICS",8,0
"Blood (Malaria)",8,0
"THROAT CULTURE",8,3
"FOOT CULTURE",7,6
"Stem Cell - Blood Culture",4,0
"ANORECTAL/VAGINAL",4,0
"PROSTHETIC JOINT FLUID",3,0
"SKIN SCRAPINGS",3,1
"Direct Antigen Test for Herpes Simplex Virus Types 1 & 2",3,0
"RAPID RESPIRATORY VIRAL ANTIGEN TEST",2,0
"STOOL (RECEIVED IN TRANSPORT SYSTEM)",2,0
"FLUID WOUND",2,2
"EYE",2,2
"DIRECT ANTIGEN TEST FOR VARICELLA-ZOSTER VIRUS",2,1
"Influenza A/B by DFA - Bronch Lavage",2,0
"NEOPLASTIC BLOOD",2,0
"EAR",2,2
"URINE,SUPRAPUBIC ASPIRATE",1,1
"TRACHEAL ASPIRATE",1,1
"Foreign Body - Sonication Culture",1,0
"VIRAL CULTURE:R/O HERPES SIMPLEX VIRUS",1,0
"BLOOD",1,0
"CORNEAL EYE SCRAPINGS",1,0
