"unidad","estancias"
"Medical Intensive Care Unit (MICU)",20703
"Medical/Surgical Intensive Care Unit (MICU/SICU)",15449
"Cardiac Vascular Intensive Care Unit (CVICU)",14771
"Surgical Intensive Care Unit (SICU)",13009
"Coronary Care Unit (CCU)",10775
"Trauma SICU (TSICU)",10474
"Neuro Intermediate",5776
"Neuro Surgical Intensive Care Unit (Neuro SICU)",1751
"Neuro Stepdown",1421
"Surgery/Vascular/Intermediate",145
"PACU",122
"Intensive Care Unit (ICU)",33
"Medicine",16
"Surgery/Trauma",10
"Med/Surg",1
"Medicine/Cardiology Intermediate",1
"Neurology",1
